sample_ID_full,nanodrop_ngul,wc_country
tLIMS14462l1s75I054BS2,24.8,NA
tLIMS14462l1s76I054BS3,209.4,NA
tLIMS14462l1s77I054BS5,226.1,NA
tLIMS14462l1s78I054BS1,63.6,NA
tLIMS14462l1s79I054MS1,235,NA
tLIMS14462l1s7I039BS5,215,NA
tLIMS14462l1s80I055BS1,162.2,NA
tLIMS14462l1s81I055MS1,383.2,NA
tLIMS14462l1s82I055BS2,180.8,NA
tLIMS14462l1s83I055BS3,3.7,NA
tLIMS14462l1s84I055BS5,144,NA
tLIMS14462l1s85I056BS2,68.1,NA
tLIMS14462l1s86I056BS3,14.9,NA
tLIMS14462l1s87I056BS5,73.5,NA
tLIMS14462l1s88I056BS1,62,NA
tLIMS14462l1s89I056MS1,1736.6,NA
tLIMS14462l1s8I039BS1,12.8,NA
