sample_ID_full,input,filtered,denoised,merged,nonchimeric
tLIMS14462l1s180I122BS2,177117,145860,145860,145681,142089
tLIMS14462l1s181I122BS3,108843,88156,88156,87759,84852
tLIMS14462l1s182I122BS5,100349,81294,81294,81069,78848
tLIMS14462l1s183I098toI122MCctrl,129284,105680,105680,103804,85785
tLIMS14462l1s184I098toI122MCQiactrl,157009,129046,129046,128936,128761
tLIMS14462l1s185I098toI122MSctrl,159357,122729,122729,122461,122327
tLIMS14462l1s186I098toI122BSctrl,118557,97242,97242,96872,94889
tLIMS14462l1s187I098toI122WCSctrl,122,29,29,0,0
tLIMS14462l1s188I098toI122PCRctrl,166,50,50,37,37
tLIMS14462l1s189carryover,168,26,26,20,20
tLIMS14462l1s18I041BS5,134243,110103,110103,108359,91064
tLIMS14462l1s190I077BS1,52392,42249,42249,42226,42127
tLIMS14462l1s191I077MS1,114141,89739,89739,84133,69700
tLIMS14462l1s192I077BS2,114729,93682,93682,93510,92182
tLIMS14462l1s193I077BS3,80338,64466,64466,64261,58432
tLIMS14462l1s194I077BS5,124394,100119,100119,99907,97910
tLIMS14462l1s195I078BS1,102191,79876,79876,78508,62595
tLIMS14462l1s196I078BS2,109019,84424,84424,83000,70883
tLIMS14462l1s197I078BS3,141173,109579,109579,107363,84791
tLIMS14462l1s198I078BS5,89930,71007,71007,70138,60883
tLIMS14462l1s199I078MS1,151897,119180,119180,107538,82233
tLIMS14462l1s19I041BS1,132148,105774,105774,104689,93924
tLIMS14462l1s1I038BS3,89304,71755,71755,71240,67270
tLIMS14462l1s200I079BS1,201746,164026,164026,162994,147786
tLIMS14462l1s201I079BS1,73346,58215,58215,56642,52367
tLIMS14462l1s202I079MS1,157648,122163,122163,114213,86335
tLIMS14462l1s203I079BS2,81688,65958,65958,65086,55368
tLIMS14462l1s204I079BS3,111526,90700,90700,89449,73870
tLIMS14462l1s205I079BS5,64006,49838,49838,48166,31135
tLIMS14462l1s206I080MS1,105812,82912,82912,78361,62503
tLIMS14462l1s207I080BS1,119050,97138,97138,96924,89111
tLIMS14462l1s208I080BS2,123201,100054,100054,99943,97524
tLIMS14462l1s209I080BS3,85234,69210,69210,68935,61026
tLIMS14462l1s20I042BS3,129957,104148,104148,102527,82096
tLIMS14462l1s210I082MS1,123554,98234,98234,93446,77475
tLIMS14462l1s211I082BS1,93813,73745,73745,72160,60304
tLIMS14462l1s212I082BS3,102986,82669,82669,81571,69632
tLIMS14462l1s213I082BS5,158581,129897,129897,128865,117056
tLIMS14462l1s214I083MS1,138403,107594,107594,94712,68563
tLIMS14462l1s215I083BS1,92775,74084,74084,72196,53719
tLIMS14462l1s216I083BS2,97428,77335,77335,76291,64497
tLIMS14462l1s217I083BS3,103734,83857,83857,82578,67228
tLIMS14462l1s218I083BS5,198076,158249,158249,156710,143721
tLIMS14462l1s219I084MS1,113687,89246,89246,83762,68082
tLIMS14462l1s21I042BS1,133216,107732,107732,106418,92519
tLIMS14462l1s220I084BS1,132571,105774,105774,104517,99311
tLIMS14462l1s221I084BS2,129288,105272,105272,103853,92284
tLIMS14462l1s222I084BS3,175983,142875,142875,141069,116962
tLIMS14462l1s223I084BS5,120376,95070,95070,92050,73528
tLIMS14462l1s224I086BS1,109512,86932,86932,84946,65853
tLIMS14462l1s225I086MS1,144350,111745,111745,103942,77468
tLIMS14462l1s226I086BS1,104945,85498,85498,82976,57387
tLIMS14462l1s227I086BS2,105092,83862,83862,83668,80360
tLIMS14462l1s228I086BS3,123256,97724,97724,97210,94617
tLIMS14462l1s229I086BS5,100644,79681,79681,78004,58012
tLIMS14462l1s22I042MS1,116685,92092,92092,84776,63511
tLIMS14462l1s230I087BS1,136124,109605,109605,108424,100394
tLIMS14462l1s231I087MS1,111055,85310,85310,75547,51466
tLIMS14462l1s232I087BS2,167938,135015,135015,131805,98923
tLIMS14462l1s233I087BS3,101805,82470,82470,82062,79858
tLIMS14462l1s234I087BS5,101335,81305,81305,80348,71535
tLIMS14462l1s235I089MS1,106899,82696,82696,76712,64681
tLIMS14462l1s236I089BS1,122456,95123,95123,87150,69445
tLIMS14462l1s237I089BS1,146491,117040,117040,114942,99916
tLIMS14462l1s238I089BS2,78257,65250,65250,65119,64893
tLIMS14462l1s239I089BS3,91540,74731,74731,74366,66639
tLIMS14462l1s23I042BS5,151049,121798,121798,120052,97969
tLIMS14462l1s240I089BS5,103465,82174,82174,81091,71191
tLIMS14462l1s241I091MS1,90999,75727,75727,74815,73031
tLIMS14462l1s242I091BS1,116088,95843,95843,95144,84356
tLIMS14462l1s243I091BS2,503249,404432,404432,401755,336953
tLIMS14462l1s244I091BS3,155915,125430,125430,123534,104793
tLIMS14462l1s245I091BS5,231545,190587,190587,187282,154628
tLIMS14462l1s246I092BS1,126713,103751,103751,103074,96579
tLIMS14462l1s247I092MS1,122744,97439,97439,92544,72566
