"","Estimate","Std.Error","pvalue","padj","method","genus","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Ruminococcus_21",-2.568,0.76,0.00092,0.00270888888888889,"zinb","Ruminococcus_2","MLW",2.56720880815696,54,1,243,128,108,51,"MLW-UK"
"Dermacoccus2",0.359,0.325,0.27,0.340714285714286,"zinb","Dermacoccus","ns",0.467609656638124,54,1,243,128,108,51,"MLW-UK"
"Dorea1",-2.152,0.568,0.00021,0.000742,"zinb","Dorea","MLW",3.12959609472097,54,1,243,128,108,51,"MLW-UK"
"Paracoccus2",-4.156,0.502,5.2e-14,5.512e-13,"zinb","Paracoccus","MLW",12.2586907911004,54,1,243,128,108,51,"MLW-UK"
"Granulicatella2",-0.7,0.277,0.013,0.0229666666666667,"zinb","Granulicatella","MLW",1.63890203281204,54,1,243,128,108,51,"MLW-UK"
"Micrococcus2",-1.422,0.25,6.3e-08,4.17375e-07,"zinb","Micrococcus","MLW",6.37947356793757,54,1,243,128,108,51,"MLW-UK"
"Kocuria2",-4.184,0.394,3.5e-20,1.855e-18,"zinb","Kocuria","MLW",17.7316560860489,54,1,243,128,108,51,"MLW-UK"
"Alloprevotella1",-1.048,0.395,0.0089,0.0176666666666667,"zinb","Alloprevotella","MLW",1.75284538511887,54,1,243,128,108,51,"MLW-UK"
"Janibacter2",-1.961,0.236,4.1e-14,5.4325e-13,"zinb","Janibacter","MLW",12.2650002650074,54,1,243,128,108,51,"MLW-UK"
"Aeromonas2",-1.663,0.458,0.00038,0.00125875,"zinb","Aeromonas","MLW",2.90006051643833,54,1,243,128,108,51,"MLW-UK"
"Prevotella_71",0.124,0.324,0.7,0.772916666666667,"zinb","Prevotella_7","ns",0.111867327760541,54,1,243,128,108,51,"MLW-UK"
"Chryseobacterium2",0.552,0.438,0.21,0.27825,"zinb","Chryseobacterium","ns",0.555564826993254,54,1,243,128,108,51,"MLW-UK"
"Actinomyces2",0.615,0.275,0.027,0.04471875,"zinb","Actinomyces","UK",1.34951034456013,54,1,243,128,108,51,"MLW-UK"
"Brachybacterium2",-1.53,0.437,6e-04,0.00187058823529412,"zinb","Brachybacterium","MLW",2.72802180139384,54,1,243,128,108,51,"MLW-UK"
"Brevundimonas2",-0.572,0.324,0.079,0.126878787878788,"zinb","Brevundimonas","ns",0.896610978986657,54,1,243,128,108,51,"MLW-UK"
"Flavobacterium2",-0.281,0.296,0.34,0.41906976744186,"zinb","Flavobacterium","ns",0.377713668936542,54,1,243,128,108,51,"MLW-UK"
"Lawsonella1",-0.528,0.332,0.11,0.153421052631579,"zinb","Lawsonella","ns",0.814115041857796,54,1,243,128,108,51,"MLW-UK"
"Stenotrophomonas2",0.15,0.384,0.7,0.772916666666667,"zinb","Stenotrophomonas","ns",0.111867327760541,54,1,243,128,108,51,"MLW-UK"
"Bergeyella2",0.504,0.304,0.099,0.141810810810811,"zinb","Bergeyella","ns",0.848290659868656,54,1,243,128,108,51,"MLW-UK"
"Neisseria1",0.657,0.393,0.096,0.141810810810811,"zinb","Neisseria","ns",0.848290659868656,54,1,243,128,108,51,"MLW-UK"
"Lactococcus1",0.113,0.334,0.74,0.779411764705882,"zinb","Lactococcus","ns",0.108233043105447,54,1,243,128,108,51,"MLW-UK"
