"","mean","sd","crossval_median","crossval_q1","crossval_q3","module"
"Granulicatella2",0.0319218188427671,0.0674792384668132,0.5,0.363636363636364,0.6,"module4_unexposed"
"Tyzzerella_32",0.0316917289420423,0.066262638331291,0.5,0.363636363636364,0.6,"module4_unexposed"
"Atopobium2",0.0308412476861244,0.0611872559473731,0.5,0.363636363636364,0.6,"module4_unexposed"
"water_treat_wami2",0.0302642794405721,0.0736324858932021,0.5,0.363636363636364,0.6,"module4_unexposed"
"Salmonella2",0.0296828133024939,0.0578356015643271,0.5,0.363636363636364,0.6,"module4_unexposed"
"Acinetobacter2",0.0287115684039182,0.0594462867448844,0.5,0.363636363636364,0.6,"module4_unexposed"
"age_at_first_dose2",0.0275814502179477,0.0552813439236509,0.5,0.363636363636364,0.6,"module4_unexposed"
"Peptoniphilus2",0.0267110882200914,0.0516167858734331,0.5,0.363636363636364,0.6,"module4_unexposed"
"Eggerthella2",0.0238946674867624,0.0707117787780705,0.5,0.363636363636364,0.6,"module4_unexposed"
"Senegalimassilia2",0.0234095569641297,0.0448944808577167,0.5,0.363636363636364,0.6,"module4_unexposed"
"antibiotic_exposure2",0.0214806497286534,0.0463115485196369,0.5,0.363636363636364,0.6,"module4_unexposed"
"Negativicoccus2",0.0211440258924995,0.0444904341784674,0.5,0.363636363636364,0.6,"module4_unexposed"
"Cutibacterium2",0.0204419472352419,0.0410739143915622,0.5,0.363636363636364,0.6,"module4_unexposed"
"sanitation2",0.0203648375764103,0.0467579349740411,0.5,0.363636363636364,0.6,"module4_unexposed"
"Libanicoccus2",0.0192908497728047,0.0442717192236788,0.5,0.363636363636364,0.6,"module4_unexposed"
"Prevotella2",0.0188059508464224,0.0391621034132609,0.5,0.363636363636364,0.6,"module4_unexposed"
"Citrobacter2",0.0181677220269283,0.0360774957425522,0.5,0.363636363636364,0.6,"module4_unexposed"
"refrigerator2",0.0173872786768218,0.0422109372212434,0.5,0.363636363636364,0.6,"module4_unexposed"
"Varibaculum2",0.0173594642234712,0.0402411458907071,0.5,0.363636363636364,0.6,"module4_unexposed"
"Prevotella_92",0.0168880170123482,0.0332021032586855,0.5,0.363636363636364,0.6,"module4_unexposed"
"mode_delivery2",0.0166039196899228,0.038150287012792,0.5,0.363636363636364,0.6,"module4_unexposed"
"sex_baby2",0.0163685587235192,0.0348646076818553,0.5,0.363636363636364,0.6,"module4_unexposed"
"crowding_wami2",0.0160875545474075,0.032176134661639,0.5,0.363636363636364,0.6,"module4_unexposed"
"Lachnoclostridium2",0.0155975624545077,0.04127102363054,0.5,0.363636363636364,0.6,"module4_unexposed"
"place_delivery2",0.0132041074848408,0.0323252056534565,0.5,0.363636363636364,0.6,"module4_unexposed"
