"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t1788301","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas versuta"
"t437505","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Granulosicoccaceae","Granulosicoccus","Granulosicoccus antarcticus"
"t1704307","Bacteria","Verrucomicrobia","Spartobacteria","","","Candidatus Xiphinematobacter","Candidatus Xiphinematobacter sp. Idaho Grape"
"t2840472","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. S2-11-2"
"t2059264","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella sp. Pdp11"
"t43348","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium branderi"
"t2259673","Archaea","Thaumarchaeota","","Nitrosopumilales","Nitrosopumilaceae","Nitrosarchaeum","Nitrosarchaeum sp. AC2"
"t1911175","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis sp. BJA-103"
"t2819280","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidihalobacter","Acidihalobacter yilgarnenesis"
"t1504981","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp. KO116"
"t2017482","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassococcus","Thalassococcus sp. S3"
"t1400387","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Lacipirellulaceae","Bythopirellula","Bythopirellula goksoyri"
"t2026199","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia aromaticivorans"
"t2198","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","Methanoculleus marisnigri"
"t1982357","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Pamexvirus","Pamexvirus Pseudomonas virus PaMx28"
"t1855616","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter sp. MWH-UH25E"
"t1758398","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter sp. VK25"
"t1931241","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. S-6-2"
"t2807626","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Glaciimonas","Glaciimonas sp. PAMC28666"
"t192843","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","Rhodoferax ferrireducens"
"t1523522","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. ZM1"
