"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"102","Nesterenkonia",0.0112288877203253,0.0288649811257967,"Nesterenkonia","India",31,247,12.6,0,0.1,"UK",0,39,0,0,0,0.0118202495254383,0.0433922189623192,12.6,TRUE,99,0,"India",-0.764166629548598,-0.774093779793292,-0.697593228261086,-0.0895899651649987,5.29792013834759,-0.0161655503927299,0.490384615513279,0.347208638150623,0.483266377204103,0.514842530232185,0.664411186793983,0.033,0,0.033,0.9375,0.875,0.9375
"103","Nocardioides",0.0230138522511943,0.0503304574185838,"Nocardioides","India",48,247,19.4,0.1,0.2,"UK",1,39,2.6,0,0,0.00565716859003171,0.0241464512989158,16.8,TRUE,69,0,"India",-0.485735472438782,-0.465868133661763,-0.588173896991941,-0.53199679548506,5.76982189049434,-0.0836714405989017,0.448938727161412,0.253958363414491,0.379555341030554,0.44733635317899,0.603651270915164,0.066,0.003,0.063,0.9375,0.875,0.9375
"104","Novosphingobium",0.0275033080689835,0.0683760981718165,"Novosphingobium","India",44,247,17.8,0.1,0.4,"UK",1,39,2.6,0,0,0.0155363913492656,0.0533111467866958,15.2,TRUE,61,0,"ns",-0.536640662194983,-0.553135118004809,-0.459426120943817,-0.243173646866522,6.0185849253133,-0.0336434039731466,0.482579095147017,0.310761046901342,0.440849750983887,0.540318457246435,0.688407099493543,0.103,0.001,0.102,0.9375,0.875,0.9375
"105","Ornithinimicrobium",0.110916025493274,0.234071845520288,"Ornithinimicrobium","India",80,247,32.4,0.1,0.4,"UK",1,39,2.6,0,0,2.93399417581231e-05,0.000447665046930439,29.8,TRUE,16,1,"India",0.188298407261025,0.392206859878597,-0.742604674080432,-1.93889076748668,6.45387602812008,-0.291705904527186,0.375801283821821,0.00175868377180028,0.0102030801286395,0.0396408219974645,0.11056297275751,0.15,0.001,0.149,0.9375,0.875,0.9375
"106","Pantoea",0.031486165402587,0.0608547778638208,"Pantoea","India",24,247,9.7,0.1,0.3,"UK",8,39,20.5,0.3,1.4,0.0569382653695144,0.118621386186488,-10.8,FALSE,54,0,"ns",-0.82503313360539,-0.94343354843673,0.121118784649195,1.24036088944993,7.48766049430233,0.156095046154356,0.404485383783891,0.0773060039041509,0.168840670198376,0.107571538601216,0.219149381121912,0.061,0.332,-0.271,0.9375,0.875,0.9375
"107","Parabacteroides",0.00788433407943126,0.0159765784604441,"Parabacteroides","India",0,247,0,0,0,"UK",3,39,7.7,0,0.2,0.00236875800256082,0.011931607579419,-7.7,FALSE,117,0,"UK",-1.24693822829053,-1.36239049146474,-0.403269018132516,1.05542584163858,4.82430558745268,0.186675050962491,0.405849360280023,0.120071498285495,0.20915091742602,0.14821749827488,0.25248300850443,0,0.038,-0.038,0.9375,0.875,0.9375
"108","Paracoccus",0.666573025548438,1.12253215288184,"Paracoccus","India",194,247,78.5,2.1,5.4,"UK",7,39,17.9,0,0.1,3.08309766784128e-13,3.88189249195529e-11,60.6,TRUE,1,1,"India",8.94374166497576,9.39331852655947,-0.0310888389275679,-8.65839122079369,7.30418294188799,-1.01417642859881,0.168201850134696,2.42907624474304e-11,2.01873568296682e-09,3.96098136243198e-11,6.79967448473152e-09,2.162,0.042,2.12,0.9375,0.875,0.9375
"109","Parasegetibacter",0.00257731735837743,0.00677992346089516,"Parasegetibacter","India",26,247,10.5,0.1,0.4,"UK",0,39,0,0,0,0.0324512827806883,0.0799855561495838,10.5,TRUE,163,0,"ns",-0.891646722401434,-0.893400403364728,-0.880405158445981,-0.200731870112955,5.07937068095864,-0.034134728158058,0.481570513067363,0.30329901995221,0.445627004826275,0.546236042399516,0.69675854727262,0.11,0,0.11,0.9375,0.875,0.9375
"110","Paucibacter",0.00579284897489487,0.0126675250438228,"Paucibacter","India",0,247,0,0,0,"UK",2,39,5.1,0,0.2,0.0181818181818182,0.054858934169279,-5.1,FALSE,137,0,"ns",-1.3001617662932,-1.3918945506034,-0.640638393937953,0.694653295178079,4.79291488435502,0.116335140216597,0.4338942316692,0.231164796285243,0.344281725496915,0.24666885800555,0.381320973255283,0,0.027,-0.027,0.9375,0.875,0.9375
"111","Peptoniphilus",0.00654567162208575,0.0142927703632964,"Peptoniphilus","India",7,247,2.8,0,0.3,"UK",4,39,10.3,0,0.2,0.0480439460516265,0.110627507355719,-7.5,FALSE,128,0,"ns",-1.11966067006208,-1.23767739737384,-0.317172364196415,1.0077258812477,5.4408934558903,0.162611529108666,0.409291150632874,0.163313230239856,0.271920344439309,0.182475451180266,0.307628856650959,0.033,0.045,-0.012,0.9375,0.875,0.9375
