feature_id	feature	feature description	feature_full
g204	1.11.2.4	Fatty-acid peroxygenase	Fatty-acid_peroxygenase_(1.11.2.4)
g205	1.12.1.2	Hydrogen dehydrogenase	Hydrogen_dehydrogenase_(1.12.1.2)
g206	1.12.1.3	Hydrogen dehydrogenase (NADP(+))	Hydrogen_dehydrogenase_(NADP(+))_(1.12.1.3)
g207	1.12.2.1	Cytochrome-c3 hydrogenase	Cytochrome-c3_hydrogenase_(1.12.2.1)
g208	1.12.5.1	Hydrogen:quinone oxidoreductase	Hydrogen:quinone_oxidoreductase_(1.12.5.1)
g209	1.12.7.2	Ferredoxin hydrogenase	Ferredoxin_hydrogenase_(1.12.7.2)
g210	1.12.98.2	5,10-methenyltetrahydromethanopterin hydrogenase	5,10-methenyltetrahydromethanopterin_hydrogenase_(1.12.98.2)
g211	1.12.99.6	Hydrogenase (acceptor)	Hydrogenase_(acceptor)_(1.12.99.6)
g212	1.13.11.11	Tryptophan 2,3-dioxygenase	Tryptophan_2,3-dioxygenase_(1.13.11.11)
g213	1.13.11.15	3,4-dihydroxyphenylacetate 2,3-dioxygenase	3,4-dihydroxyphenylacetate_2,3-dioxygenase_(1.13.11.15)
g214	1.13.11.16	3-carboxyethylcatechol 2,3-dioxygenase	3-carboxyethylcatechol_2,3-dioxygenase_(1.13.11.16)
g215	1.13.11.1	Catechol 1,2-dioxygenase	Catechol_1,2-dioxygenase_(1.13.11.1)
g216	1.13.11.24	Quercetin 2,3-dioxygenase	Quercetin_2,3-dioxygenase_(1.13.11.24)
g217	1.13.11.27	4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate_dioxygenase_(1.13.11.27)
g218	1.13.11.29	Stizolobate synthase	Stizolobate_synthase_(1.13.11.29)
g219	1.13.11.2	Catechol 2,3-dioxygenase	Catechol_2,3-dioxygenase_(1.13.11.2)
g220	1.13.11.37	Hydroxyquinol 1,2-dioxygenase	Hydroxyquinol_1,2-dioxygenase_(1.13.11.37)
g221	1.13.11.39	Biphenyl-2,3-diol 1,2-dioxygenase	Biphenyl-2,3-diol_1,2-dioxygenase_(1.13.11.39)
g222	1.13.11.3	Protocatechuate 3,4-dioxygenase	Protocatechuate_3,4-dioxygenase_(1.13.11.3)
g223	1.13.11.4	Gentisate 1,2-dioxygenase	Gentisate_1,2-dioxygenase_(1.13.11.4)
g224	1.13.11.53	Acireductone dioxygenase (Ni(2+)-requiring)	Acireductone_dioxygenase_(Ni(2+)-requiring)_(1.13.11.53)
g225	1.13.11.54	Acireductone dioxygenase (Fe(2+)-requiring)	Acireductone_dioxygenase_(Fe(2+)-requiring)_(1.13.11.54)
g226	1.13.11.5	Homogentisate 1,2-dioxygenase	Homogentisate_1,2-dioxygenase_(1.13.11.5)
g227	1.13.11.63	Beta-carotene 15,15'-dioxygenase	Beta-carotene_15,15'-dioxygenase_(1.13.11.63)
g228	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase	3-hydroxyanthranilate_3,4-dioxygenase_(1.13.11.6)
g229	1.13.11.74	2-aminophenol 1,6-dioxygenase	2-aminophenol_1,6-dioxygenase_(1.13.11.74)
g230	1.13.11.76	2-amino-5-chlorophenol 1,6-dioxygenase	2-amino-5-chlorophenol_1,6-dioxygenase_(1.13.11.76)
g231	1.13.11.79	5,6-dimethylbenzimidazole synthase	5,6-dimethylbenzimidazole_synthase_(1.13.11.79)
g232	1.13.11.8	Protocatechuate 4,5-dioxygenase	Protocatechuate_4,5-dioxygenase_(1.13.11.8)
g233	1.13.12.16	Nitronate monooxygenase	Nitronate_monooxygenase_(1.13.12.16)
