"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X08135439d312c5bdb27840a374c9fa92","Acinetobacter (RSV112)",406,0.99999973688122,66,0.892424859890393,8,NA,0.892424859890393,FALSE
"X85e5f4133e5ea47da3e24828bdf463f5","Ruminococcaceae_UCG-002 (RSV113)",15,0.998621303255822,28,0.880933597544416,0,NA,0.880933597544416,FALSE
"X8cb24777cb48dde0aac60dfeca125d10","Bacillus (RSV114)",65,0.502799533082795,34,0.983145581003049,17,0.997693288671995,0.502799533082795,FALSE
"X1e870c64af7608a2cb5ffd2d5c5b01f3","Citrobacter (RSV115)",8,NA,24,0.998620136955089,7,NA,0.998620136955089,FALSE
"X0b93befcf48fdcb8fee557c5bc8f1672","Veillonella (RSV116)",116,0.981542243425705,85,0.95058115145636,34,0.999999470312788,0.95058115145636,FALSE
"Xe3c9c2a072b1dd41a3d26f812f5c5f0e","Veillonella (RSV117)",5,NA,5,NA,8,NA,NA,FALSE
"X8878a0465f5d22d1c56917fe650a7df3","Clostridium_sensu_stricto_1 (RSV118)",8,NA,4,NA,0,NA,NA,FALSE
"Xf684347f6c1a5dcf941c4c17be9dfb8d","Sutterella (RSV119)",1,NA,9,NA,0,NA,NA,FALSE
"Xc6fdf631c16099e62a83c66db8a7a6f1","Subdoligranulum (RSV120)",37,0.99950520284563,49,0.927553946557371,5,NA,0.927553946557371,FALSE
"X3153d6c5a7eabae1e28b3f2c0e4f5ac7","Prevotella_9 (RSV121)",26,0.999741249983356,30,0.973281279875583,2,NA,0.973281279875583,FALSE
"X32e7dd57efc183a5b7e69af26d8641b9","Serratia (RSV122)",3,NA,11,0.923323437315786,3,NA,0.923323437315786,FALSE
"X35fd41579b5eec27ec14c400c586c480","Dialister (RSV123)",6,NA,6,NA,6,NA,NA,FALSE
"Xc7797c896756e960412d5549101b2748","Collinsella (RSV124)",25,0.999992802989968,11,0.654790289189256,0,NA,0.654790289189256,FALSE
"X470a56a74fae96d5f2fb8c492bc5a610","Hydrogenophilus (RSV125)",449,1,3,NA,1,NA,1,FALSE
"X2903f2e41955a0f7fe924306eadea605","Haemophilus (RSV126)",23,0.78471489032972,8,NA,25,0.999996933705754,0.78471489032972,FALSE
"Xcf948394015a0de603a868e3c1834154","Collinsella (RSV127)",91,0.973901639919234,16,0.478358202491353,0,NA,0.478358202491353,FALSE
"X0e14e7ab105745ef2ef0891bd05831eb","Bradyrhizobium (RSV128)",157,0.999997292293689,10,0.613342545480913,1,NA,0.613342545480913,FALSE
"Xcc22ededb519397c702ea17c5da85da3","Streptococcus (RSV129)",113,0.949617393517401,19,0.450592349555949,13,0.896332587169048,0.450592349555949,FALSE
"X908e9b387f6b9ce7d3f794e658fba37e","Staphylococcus (RSV130)",182,0.998661452438454,30,0.844021067085857,69,1,0.844021067085857,FALSE
"X5ffa45b1ff8681e9b0a43ea196e86275","Veillonella (RSV131)",4,NA,17,0.905213995180489,3,NA,0.905213995180489,FALSE
"Xd5efaef1c67fe453cfa5d6d2f8a68042","Paracoccus (RSV132)",372,1,21,0.996149835861913,3,NA,0.996149835861913,FALSE
"X8f6e2a91e20994c00566a5ff2b49506e","Blautia (RSV133)",92,0.999992442633154,72,0.996919073215881,11,0.962584174004704,0.962584174004704,FALSE
"X8d478879084ed7c88660c8b0c4b24923","Ruminococcus_2 (RSV134)",48,0.999999166536102,53,0.726776302110784,3,NA,0.726776302110784,FALSE
"X22f4ee9a41a4d73580bf7ade8e9e017a","Faecalibacterium (RSV135)",21,0.999489612449842,36,0.989493736634178,7,NA,0.989493736634178,FALSE
"Xeee26944198c21eaa0afcc8261af456e","Megasphaera (RSV136)",7,NA,3,NA,0,NA,NA,FALSE
"X16684adccf4a4d35facc56a79870aaa9","Erysipelatoclostridium (RSV137)",18,0.999944926454457,20,0.995255778340159,9,NA,0.995255778340159,FALSE
