"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"42","t1464","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus larvae","Paenibacillus larvae",0.002762,0.017453,9.1,0.002706,0.018327,8.5,0.003038,0.012461,12.1
"138","t2684658","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. CNU 77-61","Streptococcus sp. CNU 77-61",0.002511,0.013696,19.4,0.002953,0.014986,20.1,0.000355,0.001432,15.5
"192","t40214","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii","Acinetobacter johnsonii",0.002504,0.018497,25.8,0.000281,0.0014,15.9,0.013355,0.043437,74.1
"40","t143361","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Filifactor","Filifactor alocis","Filifactor alocis",0.002364,0.013607,26.1,0.002625,0.014707,26.1,0.001088,0.005673,25.9
"16","t1297617","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas","Intestinimonas butyriciproducens","Intestinimonas butyriciproducens",0.002336,0.013509,35.5,0.002512,0.014311,34.6,0.001479,0.008626,39.7
"35","t1354","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae","Enterococcus hirae",0.002249,0.025235,37.2,0.002608,0.027682,39.6,0.000497,0.001823,25.9
"126","t2545797","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. FDAARGOS_724","Acinetobacter sp. FDAARGOS_724",0.002234,0.021102,8.8,0.000239,0.002643,3.5,0.011966,0.050055,34.5
"245","t84030","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora saccharolytica","Lacrimispora saccharolytica",0.002165,0.012268,34.3,0.00242,0.013409,31.8,0.000921,0.002529,46.6
"187","t39485","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Lachnospira eligens",0.001903,0.020712,30.5,0.002139,0.022705,26.9,0.000748,0.0026,48.3
"243","t83655","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia adecarboxylata","Leclercia adecarboxylata",0.001777,0.011262,39,0.001585,0.010149,40.6,0.002716,0.015678,31
"158","t28129","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella denticola","Prevotella denticola",0.001743,0.012826,25.5,0.001166,0.010224,19.4,0.004559,0.021316,55.2
"54","t1561","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium baratii","Clostridium baratii",0.001684,0.015624,19.6,0.00116,0.011524,19.8,0.004245,0.028127,19
"244","t839","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella ruminicola","Prevotella ruminicola",0.00168,0.013835,12,0.000916,0.007932,7.8,0.00541,0.028519,32.8
"198","t43765","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium amycolatum","Corynebacterium amycolatum",0.001638,0.011111,29.6,0.000175,0.000403,23.3,0.008778,0.025945,60.3
"146","t2742630","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter sp. RHBSTW-00021","Citrobacter sp. RHBSTW-00021",0.001619,0.018195,2.3,0.001951,0.019963,2.8,0,0,0
"149","t2774055","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera genomosp. 3","Kluyvera genomosp. 3",0.001583,0.013191,22.6,0.001565,0.013836,24.4,0.001674,0.009532,13.8
"11","t1270","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus luteus","Micrococcus luteus",0.001571,0.008022,35.8,0.000141,0.000443,26.1,0.00855,0.017977,82.8
"93","t195","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter coli","Campylobacter coli",0.00137,0.012113,11.7,0.001128,0.010088,13.1,0.00255,0.019234,5.2
"164","t282402","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella multiformis","Prevotella multiformis",0.001221,0.008733,14.4,0.000807,0.007005,10.6,0.003236,0.014393,32.8
"55","t1583","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella confusa","Weissella confusa",0.001109,0.009425,24,0.00127,0.010312,23.7,0.000324,0.001735,25.9
"233","t71999","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Kocuria","Kocuria palustris","Kocuria palustris",0.000915,0.01119,36.7,0.000164,0.000549,31.1,0.004578,0.026999,63.8
