"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"50","Lactobacillus",0.243652004414063,0.455783105691301,"Lactobacillus","India",200,289,69.2,3.7,7.7,"Malawi",46,68,67.6,5.4,15.7,0.884314779704322,0.915093319060374,1.60000000000001,TRUE,16,1,"ns",8.98474277523012,9.40729101674247,7.3490873411658,-1.31820404652305,10.7229596363512,-0.12582557722527,0.440156214372224,0.235742674564874,0.480935780007846,0.129586471469825,0.30422096828313,3.723,5.441,-1.718,0.8,0.75,0.85
"51","Lawsonella",0.0840522081307624,0.15314690315606,"Lawsonella","India",10,289,3.5,0,0,"Malawi",14,68,20.6,0,0,1.0042571654649e-05,5.12699710789976e-05,-17.1,FALSE,33,0,"2",-0.992289004142194,-1.1411544626462,-0.118431426967875,1.29927887417395,5.13300867120572,0.225108631044809,0.391454170039229,0.0336307406393141,0.100673966056893,0.0165373121125054,0.0560351900517375,0,0.012,-0.012,0.8,0.75,0.85
"52","Libanicoccus",0.0797349961379831,0.167070375014614,"Libanicoccus","India",21,289,7.3,0.1,0.5,"Malawi",15,68,22.1,0.7,2.6,0.00108652699290374,0.00277350311346481,-14.8,FALSE,36,0,"2",-1.02523832582009,-1.00195615012157,-1.12132520349568,0.0627757598578382,6.49241943595364,0.00850435565676138,0.493452791207296,0.391234907430399,0.585420138415727,0.601451440278442,0.720028791757531,0.097,0.703,-0.606,0.8,0.75,0.85
"53","Luteimonas",0.0245793725564481,0.059585751343963,"Luteimonas","India",0,289,0,0,0,"Malawi",8,68,11.8,0,0,1.22247699928786e-06,1.16897289834025e-05,-11.8,FALSE,71,0,"2",-1.35754678848998,-1.32297442873598,-1.52436165008804,0.0623087865812417,4.7703574748917,0.0134372037513664,0.493336397088148,0.551303750260758,0.718564597371649,0.534876777578027,0.675401369706319,0,0.004,-0.004,0.8,0.75,0.85
"54","Megamonas",0.0131488894779543,0.0301855987241866,"Megamonas","India",15,289,5.2,0.2,2.1,"Malawi",5,68,7.4,0.2,1,0.555752524259639,0.641761843490298,-2.2,FALSE,86,0,"ns",-1.22062060918471,-1.05458102927397,-1.88507340507185,-0.806980618489835,5.22301976308476,-0.125538465008911,0.426930147387338,0.361235771301445,0.549930569467757,0.148468205345258,0.263843790122854,0.217,0.21,0.00700000000000001,0.8,0.75,0.85
"55","Megasphaera",0.068334367107411,0.12541770397263,"Megasphaera","India",51,289,17.6,0.6,3.5,"Malawi",14,68,20.6,0.4,1.9,0.601043894834182,0.677921602312973,-3,FALSE,39,0,"ns",-0.567171519675705,-0.46785356023455,-1.08881426886506,-0.587431934997978,7.42313472186131,-0.0692520233124656,0.45795036783339,0.495843508895329,0.684430138728475,0.349062123454698,0.507594364925172,0.606,0.393,0.213,0.8,0.75,0.85
"56","Micrococcus",0.159053736110899,0.285237050944927,"Micrococcus","India",0,289,0,0,0,"Malawi",14,68,20.6,0,0.1,2.54630101005396e-11,8.2330399325078e-10,-20.6,FALSE,21,0,"2",-1.30297590099093,-1.30186999467404,-1.30767100601378,0.40543496150587,5.16409654235334,0.0657705031741201,0.464154411923237,0.314866160426083,0.502189727837933,0.457101123307691,0.599457253990292,0,0.009,-0.009,0.8,0.75,0.85
"57","Mitsuokella",0.041008891108886,0.0828295866809513,"Mitsuokella","India",3,289,1,0,0,"Malawi",10,68,14.7,0.1,0.6,6.21171820674462e-06,4.01691110702819e-05,-13.7,FALSE,59,0,"2",-1.2845298393638,-1.28910469294848,-1.25481260628854,0.274000580660234,5.30018277251874,0.0480988809603432,0.47357536776365,0.288759766931466,0.464825961939962,0.48641197758483,0.629537979374674,0,0.121,-0.121,0.8,0.75,0.85
"58","Morganella",0.042857042871223,0.0830454079396011,"Morganella","India",14,289,4.8,0,0.1,"Malawi",6,68,8.8,0.3,2,0.237077731800285,0.319396388675384,-4,FALSE,57,0,"ns",-1.21625662507194,-1.0868247341007,-1.79315853424395,-0.609735163906658,5.32304580957134,-0.0979624907692571,0.441075120869272,0.584552692344052,0.740289967929388,0.245395431097225,0.377625579320241,0.01,0.261,-0.251,0.8,0.75,0.85
"59","Negativicoccus",0.0998075757734965,0.187549461346159,"Negativicoccus","India",42,289,14.5,0,0,"Malawi",21,68,30.9,0.2,1,0.00251292200847095,0.00566868453073678,-16.4,FALSE,28,0,"2",-0.53557567007608,-0.591501412610675,-0.189727258637233,0.737801707754235,6.04100998128721,0.10428261750818,0.446129106603127,0.195182012534518,0.377508950245186,0.300460467609692,0.457993831918883,0.007,0.207,-0.2,0.8,0.75,0.85
