"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"126","g1110","2.7.1.71","Shikimate kinase","Shikimate_kinase_(2.7.1.71)","Shikimate_kinase_(2.7.1.71)",0.025813,0.007636,100,0.026303,0.007633,100,0.023423,0.007251,100
"1407","g2264","6.1.1.5","Isoleucine--tRNA ligase","Isoleucine--tRNA_ligase_(6.1.1.5)","Isoleucine--tRNA_ligase_(6.1.1.5)",0.02572,0.004536,100,0.025914,0.004258,100,0.024774,0.005651,100
"1386","g2245","6.1.1.10","Methionine--tRNA ligase","Methionine--tRNA_ligase_(6.1.1.10)","Methionine--tRNA_ligase_(6.1.1.10)",0.0256,0.005827,100,0.025941,0.005513,100,0.023935,0.006984,100
"1888","g549","1.7.99.4","Nitrate reductase","Nitrate_reductase_(1.7.99.4)","Nitrate_reductase_(1.7.99.4)",0.025521,0.024046,99.4,0.024035,0.023202,99.3,0.032775,0.026851,100
"2349","g964","2.5.1.7","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","UDP-N-acetylglucosamine_1-carboxyvinyltransferase_(2.5.1.7)","UDP-N-acetylglucosamine_1-carboxyvinyltransferase_(2.5.1.7)",0.025435,0.005872,100,0.025864,0.005424,100,0.023343,0.007398,100
"1308","g2175","5.3.1.9","Glucose-6-phosphate isomerase","Glucose-6-phosphate_isomerase_(5.3.1.9)","Glucose-6-phosphate_isomerase_(5.3.1.9)",0.025365,0.004764,100,0.025785,0.004298,100,0.023316,0.006231,100
"1397","g2255","6.1.1.1","Tyrosine--tRNA ligase","Tyrosine--tRNA_ligase_(6.1.1.1)","Tyrosine--tRNA_ligase_(6.1.1.1)",0.025164,0.006363,100,0.025652,0.005931,100,0.022786,0.007779,100
"1404","g2261","6.1.1.2","Tryptophan--tRNA ligase","Tryptophan--tRNA_ligase_(6.1.1.2)","Tryptophan--tRNA_ligase_(6.1.1.2)",0.025137,0.006624,100,0.025859,0.005808,100,0.021614,0.00892,100
"423","g1379","3.1.3.5","5'-nucleotidase","5'-nucleotidase_(3.1.3.5)","5'-nucleotidase_(3.1.3.5)",0.025112,0.007684,100,0.024613,0.00782,100,0.027543,0.006512,100
"1952","g606","2.1.1.177","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase","23S_rRNA_(pseudouridine(1915)-N(3))-methyltransferase_(2.1.1.177)","23S_rRNA_(pseudouridine(1915)-N(3))-methyltransferase_(2.1.1.177)",0.025009,0.006783,100,0.02564,0.006319,100,0.021932,0.008078,100
"844","g1758","3.6.1.23","dUTP diphosphatase","dUTP_diphosphatase_(3.6.1.23)","dUTP_diphosphatase_(3.6.1.23)",0.024996,0.004381,100,0.025163,0.00437,100,0.024182,0.004379,100
"1971","g623","2.1.1.198","16S rRNA (cytidine(1402)-2'-O)-methyltransferase","16S_rRNA_(cytidine(1402)-2'-O)-methyltransferase_(2.1.1.198)","16S_rRNA_(cytidine(1402)-2'-O)-methyltransferase_(2.1.1.198)",0.024964,0.005548,100,0.025338,0.005341,100,0.023142,0.006197,100
"559","g1500","3.2.1.86","6-phospho-beta-glucosidase","6-phospho-beta-glucosidase_(3.2.1.86)","6-phospho-beta-glucosidase_(3.2.1.86)",0.024939,0.024155,99.7,0.024736,0.024977,99.6,0.025927,0.019818,100
"654","g1587","3.4.21.53","Endopeptidase La","Endopeptidase_La_(3.4.21.53)","Endopeptidase_La_(3.4.21.53)",0.024927,0.004285,100,0.025184,0.004085,100,0.023674,0.005003,100
"1734","g41","1.1.1.205","IMP dehydrogenase","IMP_dehydrogenase_(1.1.1.205)","IMP_dehydrogenase_(1.1.1.205)",0.024904,0.006372,100,0.025509,0.006368,100,0.021949,0.005555,100
"639","g1573","3.4.19.3","Pyroglutamyl-peptidase I","Pyroglutamyl-peptidase_I_(3.4.19.3)","Pyroglutamyl-peptidase_I_(3.4.19.3)",0.024861,0.014802,100,0.026498,0.014188,100,0.016873,0.015258,100
"2297","g917","2.4.2.8","Hypoxanthine phosphoribosyltransferase","Hypoxanthine_phosphoribosyltransferase_(2.4.2.8)","Hypoxanthine_phosphoribosyltransferase_(2.4.2.8)",0.024784,0.006203,100,0.025351,0.00553,100,0.02202,0.008295,100
"385","g1344","3.1.26.3","Ribonuclease III","Ribonuclease_III_(3.1.26.3)","Ribonuclease_III_(3.1.26.3)",0.024731,0.005149,100,0.025112,0.004934,100,0.022873,0.005787,100
"1794","g464","1.4.1.13","Glutamate synthase (NADPH)","Glutamate_synthase_(NADPH)_(1.4.1.13)","Glutamate_synthase_(NADPH)_(1.4.1.13)",0.024706,0.017517,100,0.023788,0.017089,100,0.029185,0.019,100
